Invoice_No.,InvoiceDate,DueDate,Description,Unit_price,Quantity,Tax ,Total,Date,Time,Payment,Mobile_no
611365,1/2/2013,2/1/2013,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,68976666666
7900770,1/26/2013,2/25/2013,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,68991128727
9231909,7/3/2013,8/2/2013,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,68980743830
9888306,2/10/2013,3/12/2013,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,68982847367
15752855,10/25/2012,11/24/2012,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,68996455542
18104516,1/27/2012,2/26/2012,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,68974371653
23864272,8/13/2013,9/12/2013,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,68974474855
27545037,12/16/2012,1/15/2013,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,68987464559
28049695,5/14/2012,6/13/2012,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,68976224438
32277701,7/1/2013,7/31/2013,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,68981524486
35868002,3/31/2012,4/30/2012,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,68993135672
36478577,8/7/2013,9/6/2013,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,68982615661
36620839,5/8/2013,6/7/2013,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,68972024821
41324194,10/21/2012,11/20/2012,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,68979355654
42511106,11/7/2012,12/7/2012,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,68972712728
46372811,2/21/2013,3/23/2013,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,68993861127
46937392,5/16/2013,6/15/2013,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,11:03,Credit card,68983681526
49331333,5/29/2013,6/28/2013,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,11981752248
52765186,10/20/2013,11/19/2013,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,68991066667
